title,duration,mpaa_rating,genre,release_date,user_rating,rating_count,budget,gross
Look Who's Talking,93.0,PG-13,Romance,1989-10-12,5.9,73638.0,7500000.0,296000000.0
Driving Miss Daisy,99.0,PG,Comedy,1989-12-13,7.4,91075.0,7500000.0,145793296.0
Turner & Hooch,100.0,PG,Crime,1989-07-28,7.2,91415.0,13000000.0,71079915.0
Born on the Fourth of July,145.0,R,War,1989-12-20,7.2,91415.0,14000000.0,161001698.0
Field of Dreams,107.0,PG,Drama,1989-04-21,7.5,101702.0,15000000.0,84431625.0
Uncle Buck,100.0,PG,Family,1989-08-16,7.0,77659.0,15000000.0,79258538.0
When Harry Met Sally...,96.0,R,Romance,1989-07-21,7.6,180871.0,16000000.0,92800000.0
Dead Poets Society,129.0,PG,Drama,1989-06-02,8.1,382002.0,16400000.0,235860116.0
Parenthood,124.0,PG-13,Comedy,1989-07-31,7.0,41866.0,20000000.0,126297830.0
Lethal Weapon 2,114.0,R,Comedy,1989-07-07,7.2,151737.0,25000000.0,227853986.0
The War of the Roses,116.0,R,Comedy,1989-12-08,6.8,45248.0,26000000.0,160200000.0
National Lampoon's Christmas Vacation,97.0,PG-13,Action,1989-12-01,7.6,135690.0,27000000.0,71320000.0
"Honey, I Shrunk the Kids",93.0,PG,Family,1989-06-22,6.3,132480.0,32000000.0,222724172.0
Batman,126.0,PG,Action,1989-06-23,7.5,319517.0,35000000.0,411348924.0
Ghostbusters II,108.0,PG,Comedy,1989-06-15,6.6,171196.0,37000000.0,215394738.0
The Little Mermaid,83.0,PG,Animation,1989-11-17,7.6,219221.0,40000000.0,222300000.0
Back to the Future Part II,108.0,PG,Science Fiction,1989-11-20,7.8,438940.0,40000000.0,332000000.0
Indiana Jones and the Last Crusade,127.0,PG-13,Adventure,1989-05-24,8.2,647495.0,48000000.0,474171806.0
Tango & Cash,104.0,R,Action,1989-12-22,6.8,79806.0,55000000.0,63408614.0
Steel Magnolias,119.0,PG,Drama,1989-11-15,7.3,43037.0,15000000.0,95904091.0
Three Men and a Little Lady,104.0,PG,Family,1990-11-21,6.1,127793.0,11000000.0,71600000.0
Teenage Mutant Ninja Turtles,93.0,PG,Action,1990-03-30,6.8,79806.0,13500000.0,202000000.0
Pretty Woman,119.0,R,Romance,1990-03-23,7.0,266405.0,14000000.0,463000000.0
Kindergarten Cop,111.0,PG-13,Action,1990-12-21,6.1,127793.0,15000000.0,201957688.0
Home Alone,103.0,PG,Family,1990-11-09,7.6,414472.0,18000000.0,476684675.0
Bird on a Wire,110.0,PG-13,Comedy,1990-05-18,6.0,37415.0,20000000.0,138700000.0
Misery,107.0,R,Drama,1990-11-28,7.8,168946.0,20000000.0,61276872.0
Edward Scissorhands,105.0,PG-13,Drama,1990-12-05,7.9,421760.0,20000000.0,53000000.0
