id,spoken_languages
862,en
8844,en
8844,fr
15602,en
31357,en
11862,en
949,en
949,es
11860,fr
11860,en
45325,en
45325,de
9091,en
710,en
710,ru
710,es
9087,en
12110,en
12110,de
21032,en
10858,en
1408,en
1408,la
524,en
4584,en
5,en
9273,en
11517,en
8012,en
1710,en
1710,de
9691,en
9691,es
9691,nl
12665,en
451,en
16420,en
9263,en
17015,en
902,cn
902,fr
37557,zh
9909,en
63,en
63,fr
78802,en
9598,en
47018,en
687,en
139405,ru
139405,en
33689,en
9603,es
9603,en
34615,en
31174,en
11443,en
35196,en
35196,es
9312,en
577,en
11861,en
807,en
10530,en
8391,en
629,es
629,en
629,fr
629,hu
11448,en
49133,sq
49133,it
26441,en
26441,de
97406,en
124057,en
9089,en
9089,es
11010,it
11010,es
99040,en
99040,fr
11359,en
17182,en
17182,fr
17182,ko
17182,es
2054,en
10607,en
10607,es
19760,en
9536,en
9536,ru
11525,en
11525,hu
40628,en
4482,fr
4482,es
10634,en
755,en
755,es
11859,en
11859,es
28387,en
48750,fr
20927,en
36929,en
9102,en
124626,de
124626,en
27526,en
9623,en
46785,fa
400,en
880,nl
146599,en
8447,en
10534,da
10534,en
10534,fr
10534,de
17414,en
17414,fr
17414,ru
13997,en
2086,en
61548,en
9095,en
12158,en
9283,en
9208,en
40154,en
406,fr
45549,en
63076,en
11062,en
13685,es
13685,en
47475,en
2045,en
9614,en
688,en
11907,de
10874,en
89333,en
197,en
197,fr
197,la
197,gd
103,en
103,es
33542,cn
33542,en
43566,en
43566,fr
43566,de
71754,en
43612,fr
51352,en
16934,en
10324,en
78406,en
55731,en
32119,en
11066,fr
11066,en
11104,cn
11104,en
11104,ja
11104,zh
37975,it
2074,en
27793,en
44284,ar
44284,fr
110972,en
32622,en
73067,en
11863,en
55475,es
124636,en
9101,en
123360,en
5757,en
39428,en
9302,fr
11000,en
11000,fr
249882,en
249882,hr
249882,bs
16388,en
9737,en
30765,de
10474,en
22279,en
30157,en
568,en
11780,en
34996,en
414,en
649,fr
649,mn
649,es
1873,en
5894,en
1775,en
8839,en
20649,en
10329,en
10329,fr
8963,en
26564,en
8068,en
8512,en
1572,en
1572,de
1572,ro
13552,en
259209,en
6520,en
6520,fr
9073,en
9073,id
9073,ms
10428,en
10428,it
10428,ja
10428,ru
17447,en
17447,fr
9886,en
9886,ja
9482,en
19326,en
9344,en
9071,en
8973,en
15730,en
47608,en
2293,en
9070,en
68274,en
48787,ru
48787,en
34574,de
34574,en
1642,en
1642,es
11472,en
11472,ru
36196,en
11980,en
58372,en
32646,en
10533,en
10802,en
10149,en
18402,en
9348,en
139408,hu
139408,en
281,en
5967,fr
79593,en
47939,en
36834,en
9090,en
9090,es
3512,en
52856,en
77350,en
9560,en
9804,en
9804,de
9804,es
31611,en
65796,cn
65796,en
49805,en
26258,en
26258,de
50797,ru
19155,sq
19155,en
19155,mk
76,en
76,de
76,fr
11017,fr
11017,es
11017,en
37141,en
9382,en
6715,en
18256,en
18256,it
18256,sv
22625,en
2292,en
1909,en
8984,en
61813,en
4954,en
62488,en
10531,en
11929,en
8467,en
10451,zh
20156,en
20156,he
18395,en
522,en
397,fr
397,en
10525,en
27985,en
15789,en
27303,en
21183,en
10954,fr
47867,en
43475,en
72031,en
14275,en
1024,en
17207,en
17207,ru
13701,en
14819,en
32631,en
32631,fr
32631,de
11777,en
11777,de
628,en
628,fr
87729,en
18713,en
6280,en
9061,en
37108,en
6071,en
11,en
9587,en
9587,de
9587,fr
19101,en
19101,fr
49980,en
17961,fr
18183,en
18183,es
4476,kw
4476,en
11008,en
47504,en
32325,en
32325,es
43742,en
28313,en
11318,en
3036,en
40490,en
24070,en
8986,en
10510,en
17402,en
38722,en
38722,es
8438,en
11593,cs
11593,en
11593,hu
1945,en
39310,en
109560,en
109560,cn
56428,en
63105,en
131957,en
241,en
241,nv
241,ja
9058,en
527,en
527,mi
18220,en
6950,en
6950,ko
6950,fr
101,en
63020,en
2307,en
680,en
680,es
680,fr
41478,en
25296,en
25296,zh
40156,en
11450,en
30304,tl
30304,en
30304,ja
10452,fr
10452,it
12106,en
161495,en
3586,fr
3586,it
3586,ru
3586,es
3586,en
110,fr
108,fr
108,pl
109,fr
109,hu
109,pl
159185,zh
36357,en
92769,en
28033,en
22586,en
14334,en
14334,ga
2636,en
2164,en
2164,no
2164,sv
11395,en
278,en
9905,en
87078,en
12527,es
20306,en
36614,en
27993,en
27993,de
31439,zh
9067,en
9059,en
193,en
25066,en
46797,en
12122,en
11381,en
32636,en
36141,en
95963,en
1587,en
9271,en
2064,en
19855,en
60855,cn
60855,en
236,en
48287,en
3049,en
2759,en
12635,en
12635,fr
12635,de
12635,ru
10497,fr
10497,en
11382,en
9331,en
10731,en
10464,en
10464,fr
34152,en
9495,en
29973,en
888,en
13,en
712,en
16295,en
48992,en
48992,es
10879,en
10879,fr
10660,en
10714,en
10714,sk
41647,de
8587,en
1689,en
11596,en
854,sv
854,en
9359,en
23333,en
36593,en
12280,en
2788,en
10427,en
11011,en
11011,la
49803,en
8987,en
1637,en
15128,en
8831,en
36955,en
36955,fr
36955,ar
36955,de
10449,en
10449,fr
10449,vi
10395,en
12160,en
40480,en
52038,en
29444,en
26352,en
39953,en
41580,fr
315,en
22067,en
18242,en
11667,en
11667,ja
32502,en
28732,en
75555,en
278939,en
291731,en
226229,en
203119,en
8011,en
2654,en
18069,en
18069,fr
19092,en
2758,en
38129,en
10436,en
10436,it
13595,en
46094,en
9409,en
11853,en
11853,ru
16771,es
16771,en
46924,en
46924,gd
11041,en
306,en
14522,en
26203,en
178,en
19819,en
57834,fr
57834,en
4722,en
18215,en
1607,en
1607,it
26391,en
117553,en
6075,en
6075,es
11310,en
11310,it
11310,ru
18658,en
9350,en
9612,en
2124,cs
2124,en
26261,en
26261,hu
19176,en
49299,en
11566,en
9571,en
9739,en
24257,en
34444,en
34444,de
26141,en
26141,yi
10997,zh
50463,en
10443,en
