title,duration,mpaa_rating,listed_in,release_year,media_type
Norm of the North: King Sized Adventure,90 min,TV-PG,"Children & Family Movies, Comedies",2019,Movie
Jandino: Whatever it Takes,94 min,TV-MA,Stand-Up Comedy,2016,Movie
Transformers Prime,1 Season,TV-Y7-FV,Kids' TV,2013,TV Show
Transformers: Robots in Disguise,1 Season,TV-Y7,Kids' TV,2016,TV Show
#realityhigh,99 min,TV-14,Comedies,2017,Movie
Apaches,1 Season,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2016,TV Show
Automata,110 min,R,"International Movies, Sci-Fi & Fantasy, Thrillers",2014,Movie
Fabrizio Copano: Solo pienso en mi,60 min,TV-MA,Stand-Up Comedy,2017,Movie
Good People,90 min,R,"Action & Adventure, Thrillers",2014,Movie
Joaquín Reyes: Una y no más,78 min,TV-MA,Stand-Up Comedy,2017,Movie
Kidnapping Mr. Heineken,95 min,R,"Action & Adventure, Dramas, International Movies",2015,Movie
Krish Trish and Baltiboy,58 min,TV-Y7,Children & Family Movies,2009,Movie
Krish Trish and Baltiboy: Battle of Wits,62 min,TV-Y7,Children & Family Movies,2013,Movie
Krish Trish and Baltiboy: Best Friends Forever,65 min,TV-Y,Children & Family Movies,2016,Movie
Krish Trish and Baltiboy: Comics of India,61 min,TV-Y7,Children & Family Movies,2012,Movie
Krish Trish and Baltiboy: Oversmartness Never Pays,65 min,TV-Y7,Children & Family Movies,2017,Movie
Krish Trish and Baltiboy: Part II,58 min,TV-Y7,Children & Family Movies,2010,Movie
Krish Trish and Baltiboy: The Greatest Trick,60 min,TV-Y7,Children & Family Movies,2013,Movie
Love,135 min,NR,"Cult Movies, Dramas, Independent Movies",2015,Movie
Manhattan Romance,98 min,TV-14,"Comedies, Independent Movies, Romantic Movies",2014,Movie
Moonwalkers,96 min,R,"Action & Adventure, Comedies, International Movies",2015,Movie
Stonehearst Asylum,113 min,PG-13,"Horror Movies, Thrillers",2014,Movie
The Runner,90 min,R,"Dramas, Independent Movies",2015,Movie
6 Years,80 min,NR,"Dramas, Independent Movies, Romantic Movies",2015,Movie
Castle of Stars,1 Season,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",2015,TV Show
Laddaland,112 min,TV-MA,"Horror Movies, International Movies",2011,Movie
Next Gen,106 min,TV-PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2018,Movie
Sierra Burgess Is A Loser,106 min,PG-13,"Comedies, Romantic Movies",2018,Movie
The Most Assassinated Woman in the World,102 min,TV-MA,"Dramas, International Movies, Thrillers",2018,Movie
Cézanne et moi,114 min,R,"Dramas, Independent Movies, International Movies",2016,Movie
Archibald's Next Big Thing,1 Season,TV-Y7,"Kids' TV, TV Comedies",2019,TV Show
Article 15,125 min,TV-MA,"Dramas, International Movies, Thrillers",2019,Movie
Care of Kancharapalem,142 min,TV-14,"Comedies, Dramas, Independent Movies",2018,Movie
Ee Nagaraniki Emaindi,133 min,TV-14,"Comedies, International Movies",2018,Movie
Kill Me If You Dare,100 min,TV-14,"Comedies, International Movies, Romantic Movies",2019,Movie
The Spy,1 Season,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",2019,TV Show
Hell and Back,86 min,R,"Action & Adventure, Comedies, Independent Movies",2015,Movie
PK,146 min,TV-14,"Comedies, Dramas, International Movies",2014,Movie
Hard Tide,79 min,TV-MA,"Dramas, Independent Movies",2015,Movie
Elstree 1976,102 min,TV-PG,Documentaries,2015,Movie
American Factory: A Conversation with the Obamas,10 min,TV-G,Documentaries,2019,Movie
ATM,122 min,TV-14,"Comedies, International Movies, Romantic Movies",2012,Movie
