id,imdb_id,tmdbId,title,release_date,revenue,budget,runtime,original_language,vote_average,vote_count,homepage,tagline
862,tt0114709,88224,Toy Story,10/30/1995,373554033,30000000,81,en,7.7,5415,http://toystory.disney.com/toy-story,
8844,tt0113497,42164,Jumanji,12/15/1995,262797249,65000000,104,en,6.9,2413,,Roll the dice and unleash the excitement!
949,tt0113277,220,Heat,12/15/1995,187436818,60000000,170,en,7.7,1886,,A Los Angeles Crime Saga
710,tt0113189,23449,GoldenEye,11/16/1995,352194034,58000000,130,en,6.6,1194,http://www.mgm.com/view/movie/757/Goldeneye/,No limits. No fears. No substitutes.
1408,tt0112760,9361,Cutthroat Island,12/22/1995,10017322,98000000,119,en,5.7,137,,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
524,tt0112641,14534,Casino,11/22/1995,116112375,52000000,178,en,7.8,1343,,No one stays at the top forever.
4584,tt0114388,15142,Sense and Sensibility,12/13/1995,135000000,16500000,136,en,7.2,364,,Lose your heart and come to your senses.
5,tt0113101,11862,Four Rooms,12/9/1995,4300000,4000000,98,en,6.5,539,,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
8012,tt0113161,4291,Get Shorty,10/20/1995,115101622,30250000,105,en,6.4,305,,"The mob is tough, but it’s nothing like show business."
1710,tt0112722,170430,Copycat,10/27/1995,0,0,124,en,6.5,199,,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
451,tt0113627,18551,Leaving Las Vegas,10/27/1995,49800000,3600000,112,en,7.1,365,http://www.mgm.com/title_title.do?title_star=LEAVINGL,I Love You... The Way You Are.
902,tt0112682,164,The City of Lost Children,5/16/1995,1738611,18000000,108,fr,7.6,308,,Where happily ever after is just a dream.
63,tt0114746,10607,Twelve Monkeys,12/29/1995,168840000,29500000,129,en,7.4,2470,,The future is history.
687,tt0112818,124460,Dead Man Walking,12/29/1995,39363635,11000000,122,en,7.3,350,,
139405,tt0112286,55717,Across the Sea of Time,10/20/1995,0,0,51,en,3.5,2,,
577,tt0114681,21352,To Die For,5/20/1995,21284514,20000000,106,en,6.7,177,,All she wanted was a little attention.
807,tt0114369,77056,Se7en,9/22/1995,327311859,33000000,127,en,8.1,5915,http://www.sevenmovie.com/,Seven deadly sins. Seven ways to die.
8391,tt0114916,18387,When Night Is Falling,5/5/1995,0,0,96,en,5.9,10,,
629,tt0114814,166901,The Usual Suspects,7/19/1995,23341568,6000000,106,en,8.1,3334,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,Five Criminals. One Line Up. No Coincidence.
117164,tt0109950,211411,Guardian Angel,11/22/1994,0,0,93,en,6.3,3,,She's no angel of mercy.
