,id,genre
0,19995,Action
1,19995,Adventure
2,19995,Fantasy
3,19995,Science Fiction
4,285,Adventure
5,285,Fantasy
6,285,Action
7,206647,Action
8,206647,Adventure
9,206647,Crime
10,49026,Action
11,49026,Crime
12,49026,Drama
13,49026,Thriller
14,49529,Action
15,49529,Adventure
16,49529,Science Fiction
17,559,Fantasy
18,559,Action
19,559,Adventure
20,38757,Animation
21,38757,Family
22,99861,Action
23,99861,Adventure
24,99861,Science Fiction
25,767,Adventure
26,767,Fantasy
27,767,Family
28,209112,Action
29,209112,Adventure
30,209112,Fantasy
31,1452,Adventure
32,1452,Fantasy
33,1452,Action
34,1452,Science Fiction
35,10764,Adventure
36,10764,Action
37,10764,Thriller
38,10764,Crime
39,58,Adventure
40,58,Fantasy
41,58,Action
42,57201,Action
43,57201,Adventure
44,57201,Western
45,49521,Action
46,49521,Adventure
47,49521,Fantasy
48,49521,Science Fiction
49,2454,Adventure
50,2454,Family
51,2454,Fantasy
52,24428,Science Fiction
53,24428,Action
54,24428,Adventure
55,1865,Adventure
56,1865,Action
57,1865,Fantasy
58,41154,Action
59,41154,Comedy
60,41154,Science Fiction
61,122917,Action
62,122917,Adventure
63,122917,Fantasy
64,1930,Action
65,1930,Adventure
66,1930,Fantasy
67,20662,Action
68,20662,Adventure
69,57158,Adventure
70,57158,Fantasy
71,2268,Adventure
72,2268,Fantasy
73,254,Adventure
74,254,Drama
75,254,Action
76,597,Drama
77,597,Romance
78,597,Thriller
79,271110,Adventure
80,271110,Action
81,271110,Science Fiction
82,44833,Thriller
83,44833,Action
84,44833,Adventure
85,44833,Science Fiction
86,135397,Action
87,135397,Adventure
88,135397,Science Fiction
89,135397,Thriller
90,37724,Action
91,37724,Adventure
92,37724,Thriller
93,558,Action
94,558,Adventure
95,558,Fantasy
96,68721,Action
97,68721,Adventure
98,68721,Science Fiction
99,12155,Family
100,12155,Fantasy
101,12155,Adventure
102,36668,Adventure
103,36668,Action
104,36668,Science Fiction
105,36668,Thriller
106,62211,Animation
107,62211,Family
108,8373,Science Fiction
109,8373,Action
110,8373,Adventure
111,91314,Science Fiction
112,91314,Action
113,91314,Adventure
114,68728,Fantasy
115,68728,Adventure
116,68728,Family
117,102382,Action
118,102382,Adventure
119,102382,Fantasy
120,20526,Adventure
121,20526,Action
122,20526,Science Fiction
123,49013,Animation
124,49013,Family
125,49013,Adventure
126,49013,Comedy
127,44912,Adventure
128,44912,Action
129,44912,Thriller
130,44912,Science Fiction
131,10193,Animation
132,10193,Family
133,10193,Comedy
134,534,Action
135,534,Science Fiction
136,534,Thriller
137,168259,Action
138,72190,Action
139,72190,Drama
140,72190,Horror
141,72190,Science Fiction
142,72190,Thriller
143,127585,Action
144,127585,Adventure
145,127585,Fantasy
146,127585,Science Fiction
147,54138,Action
148,54138,Adventure
149,54138,Science Fiction
150,81005,Action
151,81005,Family
152,81005,Fantasy
153,64682,Drama
154,64682,Romance
155,9543,Adventure
156,9543,Fantasy
157,9543,Action
158,9543,Romance
159,68726,Action
160,68726,Science Fiction
161,68726,Adventure
162,38356,Action
163,38356,Science Fiction
164,38356,Adventure
165,217,Adventure
166,217,Action
167,105864,Adventure
168,105864,Animation
169,105864,Family
170,62177,Animation
171,62177,Adventure
172,62177,Comedy
173,62177,Family
174,62177,Action
175,62177,Fantasy
176,188927,Action
177,188927,Adventure
178,188927,Science Fiction
179,10681,Animation
180,10681,Family
181,5174,Action
182,5174,Comedy
183,5174,Crime
184,5174,Thriller
185,14161,Action
186,14161,Adventure
187,14161,Science Fiction
188,17979,Animation
189,17979,Drama
190,76757,Science Fiction
191,76757,Fantasy
192,76757,Action
193,76757,Adventure
194,258489,Action
195,258489,Adventure
196,411,Adventure
197,411,Family
198,411,Fantasy
199,246655,Science Fiction
200,155,Drama
201,155,Action
202,155,Crime
203,155,Thriller
204,14160,Animation
205,14160,Comedy
206,14160,Family
207,14160,Adventure
208,15512,Animation
209,15512,Family
210,15512,Adventure
211,15512,Science Fiction
212,1726,Action
213,1726,Science Fiction
214,1726,Adventure
215,44826,Adventure
216,44826,Drama
217,44826,Family
218,8487,Action
219,8487,Adventure
220,8487,Comedy
221,8487,Science Fiction
222,8487,Western
223,1735,Adventure
224,1735,Action
225,1735,Fantasy
226,297761,Action
227,297761,Adventure
228,297761,Crime
229,297761,Fantasy
230,297761,Science Fiction
231,2698,Fantasy
232,2698,Comedy
233,2698,Family
234,137113,Action
235,137113,Science Fiction
236,9804,Adventure
237,9804,Action
238,14869,Adventure
239,14869,Action
240,14869,Thriller
241,14869,Science Fiction
242,150540,Drama
243,150540,Comedy
244,150540,Animation
245,150540,Family
246,278927,Family
247,278927,Adventure
248,278927,Drama
249,278927,Fantasy
250,10138,Adventure
251,10138,Action
252,10138,Science Fiction
253,58595,Adventure
254,58595,Fantasy
255,58595,Drama
256,102651,Fantasy
257,102651,Adventure
258,102651,Action
259,102651,Family
260,102651,Romance
261,119450,Science Fiction
262,119450,Action
263,119450,Drama
264,119450,Thriller
265,79698,Action
266,79698,Adventure
267,79698,Science Fiction
268,79698,Romance
269,64686,Drama
270,64686,Action
271,64686,Adventure
272,64686,Fantasy
273,100402,Action
274,100402,Adventure
275,100402,Science Fiction
276,10192,Comedy
277,10192,Adventure
278,10192,Fantasy
279,10192,Animation
280,10192,Family
281,158852,Adventure
282,158852,Family
283,158852,Mystery
284,158852,Science Fiction
285,177572,Adventure
286,177572,Family
287,177572,Animation
288,177572,Action
289,177572,Comedy
290,82690,Family
291,82690,Animation
292,82690,Comedy
293,82690,Adventure
294,5255,Adventure
295,5255,Animation
296,5255,Family
297,5255,Fantasy
298,47933,Action
299,47933,Adventure
300,47933,Science Fiction
301,10191,Fantasy
302,10191,Adventure
303,10191,Animation
304,10191,Family
305,296,Action
306,296,Thriller
307,296,Science Fiction
308,118340,Action
309,118340,Science Fiction
310,118340,Adventure
311,157336,Adventure
312,157336,Drama
313,157336,Science Fiction
314,27205,Action
315,27205,Thriller
316,27205,Science Fiction
317,27205,Mystery
318,27205,Adventure
319,315011,Action
320,315011,Adventure
321,315011,Drama
322,315011,Horror
323,315011,Science Fiction
324,49051,Adventure
325,49051,Fantasy
326,49051,Action
327,9799,Action
