id,production_company
19995,Ingenious Film Partners
19995,Twentieth Century Fox Film Corporation
19995,Dune Entertainment
19995,Lightstorm Entertainment
285,Walt Disney Pictures
285,Jerry Bruckheimer Films
285,Second Mate Productions
206647,Columbia Pictures
206647,Danjaq
206647,B24
49026,Legendary Pictures
49026,Warner Bros.
49026,DC Entertainment
49026,Syncopy
49529,Walt Disney Pictures
559,Columbia Pictures
559,Laura Ziskin Productions
559,Marvel Enterprises
38757,Walt Disney Pictures
38757,Walt Disney Animation Studios
99861,Marvel Studios
99861,Prime Focus
99861,Revolution Sun Studios
767,Warner Bros.
767,Heyday Films
209112,DC Comics
209112,Atlas Entertainment
209112,Warner Bros.
209112,DC Entertainment
209112,Cruel & Unusual Films
209112,RatPac-Dune Entertainment
1452,DC Comics
1452,Legendary Pictures
1452,Warner Bros.
1452,Bad Hat Harry Productions
10764,Eon Productions
58,Walt Disney Pictures
58,Jerry Bruckheimer Films
58,Second Mate Productions
57201,Walt Disney Pictures
57201,Jerry Bruckheimer Films
57201,Infinitum Nihil
57201,Silver Bullet Productions (II)
57201,Blind Wink Productions
57201,Classic Media
49521,Legendary Pictures
49521,Warner Bros.
49521,DC Entertainment
49521,Syncopy
49521,Cruel and Unusual Films
2454,Walt Disney
2454,Walden Media
2454,Stillking Films
2454,Ozumi Films
2454,Propeler
2454,Silverbell Films
2454,Revolution Sun Studios
24428,Paramount Pictures
24428,Marvel Studios
1865,Walt Disney Pictures
1865,Jerry Bruckheimer Films
1865,Moving Picture Company (MPC)
41154,Amblin Entertainment
41154,Media Magik Entertainment
41154,Imagenation Abu Dhabi FZ
41154,Hemisphere Media Capital
41154,Parkes/MacDonald Productions
122917,WingNut Films
122917,New Line Cinema
122917,Warner Bros. Pictures
122917,3Foot7
122917,Metro-Goldwyn-Mayer (MGM)
1930,Columbia Pictures
1930,Laura Ziskin Productions
1930,Marvel Entertainment
20662,Imagine Entertainment
20662,Universal Pictures
20662,Scott Free Productions
20662,Relativity Media
57158,WingNut Films
57158,New Line Cinema
57158,Warner Bros. Pictures
57158,Metro-Goldwyn-Mayer (MGM)
2268,New Line Cinema
2268,Ingenious Film Partners
2268,Depth of Field
2268,Scholastic Productions
254,WingNut Films
254,Universal Pictures
254,Big Primate Pictures
254,MFPV Film
597,Paramount Pictures
597,Twentieth Century Fox Film Corporation
597,Lightstorm Entertainment
271110,Studio Babelsberg
271110,Marvel Studios
271110,Walt Disney Studios Motion Pictures
271110,Vita-Ray Dutch Productions (III)
271110,Deluxe Digital Studios
44833,Universal Pictures
44833,Hasbro
44833,Bluegrass Films
44833,Film 44
135397,Universal Studios
135397,Amblin Entertainment
