,id,spoken_languages
0,19995,en
1,19995,es
2,285,en
3,206647,fr
4,206647,en
5,206647,es
6,206647,it
7,206647,de
8,49026,en
9,49529,en
10,559,en
11,559,fr
12,38757,en
13,99861,en
14,767,en
15,209112,en
16,1452,en
17,1452,fr
18,1452,de
19,10764,en
20,10764,es
21,10764,it
22,10764,fr
23,10764,de
24,58,en
25,58,tr
26,58,el
27,58,zh
28,57201,en
29,49521,en
30,2454,en
31,24428,en
32,1865,en
33,1865,es
34,41154,en
35,122917,en
36,1930,en
37,20662,en
38,20662,th
39,57158,en
40,2268,is
41,2268,en
42,2268,ru
43,2268,fr
44,254,en
45,597,en
46,597,fr
47,597,de
48,597,sv
49,597,it
50,597,ru
51,271110,ro
52,271110,en
53,271110,de
54,271110,ru
55,44833,en
56,44833,th
57,135397,en
58,37724,en
59,558,en
60,558,ru
61,558,zh
62,68721,en
63,12155,en
64,36668,en
65,62211,en
66,8373,en
67,8373,es
68,91314,en
69,68728,en
70,102382,en
71,20526,en
72,49013,en
73,49013,ja
74,49013,it
75,49013,fr
76,44912,en
77,10193,en
78,10193,es
79,534,en
80,534,it
81,168259,en
82,72190,en
83,127585,en
84,54138,en
85,81005,en
86,64682,en
87,9543,en
88,68726,en
89,38356,en
90,217,en
91,217,de
92,217,ru
93,105864,en
94,62177,en
95,188927,en
96,10681,en
97,5174,la
98,5174,en
99,5174,fr
100,5174,ja
101,5174,zh
102,14161,en
103,14161,fr
104,14161,hi
105,14161,it
106,14161,la
107,14161,zh
108,14161,pt
109,14161,ru
110,14161,bo
111,17979,en
112,76757,en
113,258489,en
114,411,en
115,411,de
116,246655,en
117,155,en
118,155,zh
119,14160,en
120,15512,en
121,1726,en
122,1726,fa
123,1726,ur
124,1726,ar
125,44826,en
126,8487,en
127,1735,en
128,1735,zh
129,1735,sa
130,297761,en
131,2698,en
132,137113,en
133,9804,en
134,9804,de
135,9804,es
136,14869,en
137,14869,fr
138,14869,gd
139,150540,en
140,278927,en
141,10138,en
142,10138,ru
143,10138,fr
144,58595,en
145,102651,en
146,119450,en
147,79698,en
148,64686,en
149,64686,ja
150,100402,en
151,10192,en
152,158852,en
153,177572,en
154,82690,en
155,5255,en
156,47933,en
157,10191,en
158,296,en
159,118340,en
160,157336,en
161,27205,en
162,27205,ja
163,27205,fr
164,315011,it
165,315011,de
166,315011,en
167,315011,ja
168,49051,en
169,9799,en
170,4922,en
171,49538,de
172,49538,en
173,49538,es
174,49538,fr
175,49538,ru
176,131634,en
177,27022,en
178,503,en
179,503,es
180,241259,en
181,810,fr
182,68735,en
183,87101,en
184,10140,en
185,676,fr
186,676,en
187,676,ja
188,1858,es
189,1858,en
190,1966,en
191,675,en
192,674,en
193,674,fr
194,8960,en
195,8960,ja
196,6479,en
197,118,en
198,2062,en
199,272,en
200,272,ur
201,272,zh
202,10527,en
203,10527,it
204,10527,th
205,18360,en
206,2080,en
207,605,en
208,605,fr
209,109445,en
210,604,en
211,76338,en
212,76341,en
213,13448,en
214,13448,it
215,13448,la
216,13448,fr
217,13448,de
218,13448,zh
219,10195,en
220,13053,en
221,19585,en
222,57165,en
223,62213,en
224,177677,de
225,177677,en
226,177677,sv
227,7978,en
228,5559,en
229,49444,en
230,10196,en
231,956,de
232,956,en
233,956,it
234,956,zh
235,956,cs
236,956,cn
237,117251,en
238,50321,en
239,11619,en
240,266647,en
241,82703,en
242,652,en
243,80321,en
244,80321,es
245,80321,th
246,36669,en
247,36669,ko
248,36669,cn
249,36669,de
250,36669,es
251,36669,is
252,36669,it
253,43074,en
254,95,en
255,95,ru
256,608,en
257,2310,en
258,140300,en
259,56292,en
260,56292,ru
261,56292,fr
262,56292,ar
263,56292,sv
264,81188,fr
265,81188,en
266,7552,en
267,616,en
268,616,ja
269,147441,en
270,13475,en
271,557,en
272,82702,en
273,205584,en
274,10048,en
275,10048,de
276,10048,ko
277,10048,ru
278,10048,es
279,13183,en
280,944,en
281,944,cn
282,944,zh
283,1927,en
284,1927,es
285,72559,en
286,7364,en
287,7364,fr
288,7364,ar
289,2114,en
290,1771,fr
291,1771,no
292,1771,en
293,36643,en
294,36643,ru
295,8619,fr
296,8619,pt
297,8619,en
298,50620,en
299,65759,en
300,1724,pt
301,1724,es
302,1724,en
303,267935,en
304,281957,en
305,281957,fr
306,77950,en
307,44896,en
308,270946,en
309,2503,en
310,2503,fr
311,2503,ar
312,2503,ru
313,2503,es
