id,imdb_id,tmdbId,title,release_date,revenue,budget,runtime,original_language,vote_average,vote_count,homepage,tagline
862,tt0114709,88224,Toy Story,1995-10-30,373554033.0,30000000,81.0,en,7.7,5415.0,http://toystory.disney.com/toy-story,
8844,tt0113497,42164,Jumanji,1995-12-15,262797249.0,65000000,104.0,en,6.9,2413.0,,Roll the dice and unleash the excitement!
949,tt0113277,220,Heat,1995-12-15,187436818.0,60000000,170.0,en,7.7,1886.0,,A Los Angeles Crime Saga
710,tt0113189,23449,GoldenEye,1995-11-16,352194034.0,58000000,130.0,en,6.6,1194.0,http://www.mgm.com/view/movie/757/Goldeneye/,No limits. No fears. No substitutes.
1408,tt0112760,9361,Cutthroat Island,1995-12-22,10017322.0,98000000,119.0,en,5.7,137.0,,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
524,tt0112641,14534,Casino,1995-11-22,116112375.0,52000000,178.0,en,7.8,1343.0,,No one stays at the top forever.
4584,tt0114388,15142,Sense and Sensibility,1995-12-13,135000000.0,16500000,136.0,en,7.2,364.0,,Lose your heart and come to your senses.
5,tt0113101,11862,Four Rooms,1995-12-09,4300000.0,4000000,98.0,en,6.5,539.0,,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
8012,tt0113161,4291,Get Shorty,1995-10-20,115101622.0,30250000,105.0,en,6.4,305.0,,"The mob is tough, but it’s nothing like show business."
1710,tt0112722,170430,Copycat,1995-10-27,0.0,0,124.0,en,6.5,199.0,,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
451,tt0113627,18551,Leaving Las Vegas,1995-10-27,49800000.0,3600000,112.0,en,7.1,365.0,http://www.mgm.com/title_title.do?title_star=LEAVINGL,I Love You... The Way You Are.
902,tt0112682,164,The City of Lost Children,1995-05-16,1738611.0,18000000,108.0,fr,7.6,308.0,,Where happily ever after is just a dream.
63,tt0114746,10607,Twelve Monkeys,1995-12-29,168840000.0,29500000,129.0,en,7.4,2470.0,,The future is history.
687,tt0112818,124460,Dead Man Walking,1995-12-29,39363635.0,11000000,122.0,en,7.3,350.0,,
139405,tt0112286,55717,Across the Sea of Time,1995-10-20,0.0,0,51.0,en,3.5,2.0,,
577,tt0114681,21352,To Die For,1995-05-20,21284514.0,20000000,106.0,en,6.7,177.0,,All she wanted was a little attention.
807,tt0114369,77056,Se7en,1995-09-22,327311859.0,33000000,127.0,en,8.1,5915.0,http://www.sevenmovie.com/,Seven deadly sins. Seven ways to die.
